Overriding config with hw/10l8h/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char-10l8h'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 10
n_head = 8
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 3000
lr_decay_iters = 3000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 17.73M
num decayed parameter tensors: 42, with 17,817,984 parameters
num non-decayed parameter tensors: 21, with 8,064 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 4.2018, val loss 4.1939
iter 0: loss 4.2277, time 35170.93ms, mfu -100.00%
iter 10: loss 3.2962, time 193.76ms, mfu 3.20%
iter 20: loss 2.7964, time 195.76ms, mfu 3.20%
iter 30: loss 2.6319, time 201.58ms, mfu 3.19%
iter 40: loss 2.5684, time 193.88ms, mfu 3.19%
iter 50: loss 2.5179, time 197.14ms, mfu 3.18%
iter 60: loss 2.4877, time 198.19ms, mfu 3.18%
iter 70: loss 2.4869, time 200.33ms, mfu 3.17%
iter 80: loss 2.4882, time 201.16ms, mfu 3.16%
iter 90: loss 2.4803, time 199.44ms, mfu 3.16%
iter 100: loss 2.4704, time 198.49ms, mfu 3.15%
iter 110: loss 2.4381, time 198.83ms, mfu 3.15%
iter 120: loss 2.4180, time 199.11ms, mfu 3.15%
iter 130: loss 2.4052, time 198.97ms, mfu 3.14%
iter 140: loss 2.4084, time 196.62ms, mfu 3.15%
iter 150: loss 2.3970, time 196.31ms, mfu 3.15%
iter 160: loss 2.3950, time 194.48ms, mfu 3.15%
iter 170: loss 2.3423, time 196.36ms, mfu 3.15%
iter 180: loss 2.3153, time 197.01ms, mfu 3.15%
iter 190: loss 2.2756, time 195.23ms, mfu 3.15%
iter 200: loss 2.2356, time 194.05ms, mfu 3.16%
iter 210: loss 2.1886, time 193.45ms, mfu 3.16%
iter 220: loss 2.1447, time 194.85ms, mfu 3.17%
iter 230: loss 2.1084, time 190.22ms, mfu 3.18%
iter 240: loss 2.0708, time 189.18ms, mfu 3.19%
step 250: train loss 1.9884, val loss 2.1014
saving checkpoint to out-shakespeare-char-10l8h
iter 250: loss 2.0452, time 23138.50ms, mfu 2.87%
iter 260: loss 2.0529, time 201.32ms, mfu 2.89%
iter 270: loss 1.9880, time 195.56ms, mfu 2.92%
iter 280: loss 1.9838, time 196.08ms, mfu 2.94%
iter 290: loss 1.9154, time 193.55ms, mfu 2.97%
iter 300: loss 1.9328, time 194.54ms, mfu 2.99%
iter 310: loss 1.9212, time 200.57ms, mfu 3.00%
iter 320: loss 1.8333, time 198.20ms, mfu 3.02%
iter 330: loss 1.8562, time 192.87ms, mfu 3.04%
iter 340: loss 1.8241, time 193.17ms, mfu 3.05%
iter 350: loss 1.7860, time 198.78ms, mfu 3.06%
iter 360: loss 1.8279, time 198.93ms, mfu 3.07%
iter 370: loss 1.7483, time 199.25ms, mfu 3.07%
iter 380: loss 1.7442, time 195.93ms, mfu 3.08%
iter 390: loss 1.7436, time 197.37ms, mfu 3.09%
iter 400: loss 1.7296, time 195.83ms, mfu 3.09%
iter 410: loss 1.6946, time 196.47ms, mfu 3.10%
iter 420: loss 1.6410, time 194.43ms, mfu 3.11%
iter 430: loss 1.6214, time 195.30ms, mfu 3.12%
iter 440: loss 1.6509, time 194.48ms, mfu 3.12%
iter 450: loss 1.6434, time 196.49ms, mfu 3.13%
iter 460: loss 1.6199, time 194.66ms, mfu 3.13%
iter 470: loss 1.6071, time 194.81ms, mfu 3.14%
iter 480: loss 1.5758, time 192.63ms, mfu 3.15%
iter 490: loss 1.5634, time 196.16ms, mfu 3.15%
step 500: train loss 1.5157, val loss 1.7222
saving checkpoint to out-shakespeare-char-10l8h
iter 500: loss 1.5879, time 20989.59ms, mfu 2.84%
iter 510: loss 1.5424, time 201.01ms, mfu 2.86%
iter 520: loss 1.5939, time 195.70ms, mfu 2.89%
iter 530: loss 1.5596, time 193.57ms, mfu 2.92%
iter 540: loss 1.5561, time 194.78ms, mfu 2.95%
iter 550: loss 1.5321, time 193.91ms, mfu 2.98%
iter 560: loss 1.5422, time 194.99ms, mfu 3.00%
iter 570: loss 1.5155, time 192.38ms, mfu 3.02%
iter 580: loss 1.4787, time 193.21ms, mfu 3.04%
iter 590: loss 1.5043, time 193.74ms, mfu 3.05%
iter 600: loss 1.4739, time 192.63ms, mfu 3.07%
iter 610: loss 1.4954, time 194.44ms, mfu 3.08%
iter 620: loss 1.5160, time 197.09ms, mfu 3.09%
iter 630: loss 1.4876, time 194.57ms, mfu 3.10%
iter 640: loss 1.4528, time 193.23ms, mfu 3.11%
iter 650: loss 1.4210, time 195.28ms, mfu 3.12%
iter 660: loss 1.4471, time 197.29ms, mfu 3.12%
iter 670: loss 1.4405, time 194.71ms, mfu 3.13%
iter 680: loss 1.4458, time 196.05ms, mfu 3.13%
iter 690: loss 1.4182, time 194.02ms, mfu 3.14%
iter 700: loss 1.4386, time 199.30ms, mfu 3.14%
iter 710: loss 1.4288, time 194.50ms, mfu 3.14%
iter 720: loss 1.4106, time 198.05ms, mfu 3.14%
iter 730: loss 1.3756, time 194.88ms, mfu 3.14%
iter 740: loss 1.3818, time 198.37ms, mfu 3.14%
step 750: train loss 1.3297, val loss 1.5532
saving checkpoint to out-shakespeare-char-10l8h
iter 750: loss 1.3814, time 21167.09ms, mfu 2.83%
iter 760: loss 1.3509, time 202.10ms, mfu 2.86%
iter 770: loss 1.3984, time 193.67ms, mfu 2.89%
iter 780: loss 1.3970, time 196.57ms, mfu 2.92%
iter 790: loss 1.3418, time 193.84ms, mfu 2.95%
iter 800: loss 1.3931, time 195.75ms, mfu 2.97%
iter 810: loss 1.3833, time 194.10ms, mfu 2.99%
