Overriding config with config/train_tt2_5k.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-tt2_5k'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'tt2_5k-char'
wandb_run_name = 'mini-gpt'

dataset = 'tt_2_5k'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 10
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

tokens per iteration will be: 16,384
found vocab_size = 140 (inside data/tt_2_5k/meta.pkl)
Initializing a new model from scratch
number of parameters: 17.76M
num decayed parameter tensors: 42, with 17,846,784 parameters
num non-decayed parameter tensors: 21, with 8,064 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 5.0491, val loss 5.0429
iter 0: loss 5.0360, time 31919.38ms, mfu -100.00%
iter 10: loss 3.4873, time 173.11ms, mfu 3.59%
iter 20: loss 3.0414, time 171.69ms, mfu 3.59%
iter 30: loss 2.7600, time 172.22ms, mfu 3.59%
iter 40: loss 2.6651, time 172.90ms, mfu 3.59%
iter 50: loss 2.6369, time 173.13ms, mfu 3.59%
iter 60: loss 2.6375, time 172.80ms, mfu 3.59%
iter 70: loss 2.6385, time 172.20ms, mfu 3.60%
iter 80: loss 2.5559, time 172.28ms, mfu 3.60%
iter 90: loss 2.6092, time 173.05ms, mfu 3.60%
iter 100: loss 2.6025, time 171.99ms, mfu 3.60%
iter 110: loss 2.5948, time 172.91ms, mfu 3.60%
iter 120: loss 2.5961, time 174.76ms, mfu 3.59%
iter 130: loss 2.5730, time 172.53ms, mfu 3.59%
iter 140: loss 2.5650, time 177.10ms, mfu 3.59%
iter 150: loss 2.5468, time 173.71ms, mfu 3.58%
iter 160: loss 2.5595, time 176.54ms, mfu 3.58%
iter 170: loss 2.5167, time 176.38ms, mfu 3.57%
iter 180: loss 2.5141, time 177.56ms, mfu 3.57%
iter 190: loss 2.4687, time 178.01ms, mfu 3.56%
iter 200: loss 2.4830, time 177.04ms, mfu 3.55%
iter 210: loss 2.4214, time 174.59ms, mfu 3.55%
iter 220: loss 2.3517, time 176.69ms, mfu 3.55%
iter 230: loss 2.3390, time 179.14ms, mfu 3.54%
iter 240: loss 2.2870, time 179.74ms, mfu 3.53%
step 250: train loss 2.2216, val loss 2.3238
saving checkpoint to out-tt2_5k
iter 250: loss 2.3139, time 22985.82ms, mfu 3.18%
iter 260: loss 2.2669, time 185.30ms, mfu 3.20%
iter 270: loss 2.1967, time 179.94ms, mfu 3.23%
iter 280: loss 2.2044, time 181.39ms, mfu 3.25%
iter 290: loss 2.1578, time 182.34ms, mfu 3.26%
iter 300: loss 2.1637, time 183.46ms, mfu 3.27%
iter 310: loss 2.1577, time 184.32ms, mfu 3.28%
iter 320: loss 2.1322, time 182.53ms, mfu 3.30%
iter 330: loss 2.0801, time 187.36ms, mfu 3.30%
iter 340: loss 2.1354, time 187.28ms, mfu 3.30%
iter 350: loss 2.0828, time 190.99ms, mfu 3.30%
iter 360: loss 2.0222, time 189.15ms, mfu 3.29%
iter 370: loss 2.0228, time 191.28ms, mfu 3.29%
iter 380: loss 1.9415, time 192.20ms, mfu 3.28%
iter 390: loss 1.9688, time 187.14ms, mfu 3.29%
iter 400: loss 1.9627, time 189.69ms, mfu 3.29%
iter 410: loss 1.9480, time 195.90ms, mfu 3.28%
iter 420: loss 1.9774, time 193.53ms, mfu 3.27%
iter 430: loss 1.9599, time 191.64ms, mfu 3.27%
iter 440: loss 1.9005, time 190.80ms, mfu 3.27%
iter 450: loss 1.9588, time 193.46ms, mfu 3.26%
iter 460: loss 1.9262, time 189.51ms, mfu 3.26%
iter 470: loss 1.8949, time 190.90ms, mfu 3.26%
iter 480: loss 1.8858, time 190.45ms, mfu 3.26%
iter 490: loss 1.8487, time 187.57ms, mfu 3.27%
step 500: train loss 1.7522, val loss 1.9732
saving checkpoint to out-tt2_5k
iter 500: loss 1.8609, time 20469.31ms, mfu 2.94%
iter 510: loss 1.8636, time 190.35ms, mfu 2.98%
iter 520: loss 1.8017, time 190.29ms, mfu 3.00%
iter 530: loss 1.8000, time 186.62ms, mfu 3.04%
iter 540: loss 1.7968, time 184.72ms, mfu 3.07%
iter 550: loss 1.7638, time 191.44ms, mfu 3.09%
iter 560: loss 1.7324, time 183.69ms, mfu 3.12%
iter 570: loss 1.7682, time 186.88ms, mfu 3.14%
iter 580: loss 1.7771, time 189.78ms, mfu 3.15%
iter 590: loss 1.7729, time 190.54ms, mfu 3.16%
iter 600: loss 1.6995, time 182.32ms, mfu 3.19%
iter 610: loss 1.7232, time 187.38ms, mfu 3.20%
iter 620: loss 1.7263, time 188.80ms, mfu 3.21%
iter 630: loss 1.6722, time 190.86ms, mfu 3.21%
iter 640: loss 1.6663, time 188.83ms, mfu 3.22%
iter 650: loss 1.6370, time 186.92ms, mfu 3.23%
iter 660: loss 1.6850, time 188.39ms, mfu 3.24%
iter 670: loss 1.6386, time 192.10ms, mfu 3.24%
iter 680: loss 1.6277, time 191.64ms, mfu 3.24%
iter 690: loss 1.6167, time 194.36ms, mfu 3.23%
iter 700: loss 1.6113, time 192.45ms, mfu 3.23%
iter 710: loss 1.6129, time 183.62ms, mfu 3.25%
iter 720: loss 1.5918, time 191.30ms, mfu 3.25%
iter 730: loss 1.5988, time 193.90ms, mfu 3.24%
iter 740: loss 1.6257, time 188.77ms, mfu 3.25%
step 750: train loss 1.4418, val loss 1.8510
saving checkpoint to out-tt2_5k
iter 750: loss 1.5482, time 20585.32ms, mfu 2.93%
iter 760: loss 1.5669, time 191.15ms, mfu 2.96%
iter 770: loss 1.4878, time 189.58ms, mfu 2.99%
iter 780: loss 1.5283, time 184.79ms, mfu 3.03%
iter 790: loss 1.5053, time 190.70ms, mfu 3.05%
iter 800: loss 1.5365, time 188.53ms, mfu 3.08%
iter 810: loss 1.4799, time 191.77ms, mfu 3.09%
iter 820: loss 1.4914, time 190.41ms, mfu 3.11%
