Overriding config with config/train_tt250.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-tt250'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'tt250-char'
wandb_run_name = 'mini-gpt'

dataset = 'tt_250'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 10
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

tokens per iteration will be: 16,384
found vocab_size = 101 (inside data/tt_250/meta.pkl)
Initializing a new model from scratch
number of parameters: 17.74M
num decayed parameter tensors: 42, with 17,831,808 parameters
num non-decayed parameter tensors: 21, with 8,064 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 4.6578, val loss 4.6546
iter 0: loss 4.6833, time 34068.47ms, mfu -100.00%
iter 10: loss 3.3234, time 187.48ms, mfu 3.31%
iter 20: loss 2.9631, time 191.27ms, mfu 3.31%
iter 30: loss 2.6929, time 190.36ms, mfu 3.30%
iter 40: loss 2.6665, time 187.08ms, mfu 3.30%
iter 50: loss 2.5918, time 192.35ms, mfu 3.30%
iter 60: loss 2.5970, time 191.64ms, mfu 3.29%
iter 70: loss 2.5724, time 192.43ms, mfu 3.28%
iter 80: loss 2.5707, time 192.34ms, mfu 3.28%
iter 90: loss 2.5702, time 190.78ms, mfu 3.28%
iter 100: loss 2.5413, time 197.13ms, mfu 3.26%
iter 110: loss 2.5259, time 193.90ms, mfu 3.26%
iter 120: loss 2.5275, time 190.66ms, mfu 3.26%
iter 130: loss 2.4971, time 194.44ms, mfu 3.25%
iter 140: loss 2.4970, time 194.73ms, mfu 3.24%
iter 150: loss 2.4824, time 191.19ms, mfu 3.24%
iter 160: loss 2.4546, time 194.35ms, mfu 3.24%
iter 170: loss 2.4299, time 189.80ms, mfu 3.24%
iter 180: loss 2.4219, time 191.30ms, mfu 3.24%
iter 190: loss 2.3696, time 191.79ms, mfu 3.24%
iter 200: loss 2.3506, time 187.43ms, mfu 3.25%
iter 210: loss 2.2586, time 191.82ms, mfu 3.25%
iter 220: loss 2.2337, time 189.69ms, mfu 3.25%
iter 230: loss 2.1829, time 183.17ms, mfu 3.26%
iter 240: loss 2.1493, time 189.92ms, mfu 3.27%
step 250: train loss 1.9923, val loss 2.4056
saving checkpoint to out-tt250
iter 250: loss 2.0999, time 23656.75ms, mfu 2.94%
iter 260: loss 2.0268, time 189.94ms, mfu 2.97%
iter 270: loss 1.9827, time 189.95ms, mfu 3.00%
iter 280: loss 1.9588, time 189.53ms, mfu 3.03%
iter 290: loss 1.9034, time 190.75ms, mfu 3.05%
iter 300: loss 1.8445, time 191.39ms, mfu 3.07%
iter 310: loss 1.7380, time 191.94ms, mfu 3.09%
iter 320: loss 1.7450, time 193.71ms, mfu 3.10%
iter 330: loss 1.6632, time 191.70ms, mfu 3.11%
iter 340: loss 1.6222, time 191.46ms, mfu 3.13%
iter 350: loss 1.5603, time 189.78ms, mfu 3.14%
iter 360: loss 1.4976, time 190.93ms, mfu 3.15%
iter 370: loss 1.4367, time 193.24ms, mfu 3.16%
iter 380: loss 1.3554, time 190.60ms, mfu 3.17%
iter 390: loss 1.3517, time 192.72ms, mfu 3.17%
iter 400: loss 1.2499, time 192.90ms, mfu 3.18%
iter 410: loss 1.2107, time 192.04ms, mfu 3.18%
iter 420: loss 1.0855, time 188.76ms, mfu 3.19%
iter 430: loss 1.0993, time 193.12ms, mfu 3.20%
iter 440: loss 0.9848, time 187.39ms, mfu 3.21%
iter 450: loss 0.9200, time 193.68ms, mfu 3.21%
iter 460: loss 0.8400, time 192.97ms, mfu 3.21%
iter 470: loss 0.7773, time 189.23ms, mfu 3.22%
iter 480: loss 0.7151, time 187.68ms, mfu 3.23%
iter 490: loss 0.6612, time 188.08ms, mfu 3.23%
step 500: train loss 0.3089, val loss 3.1961
iter 500: loss 0.6554, time 19023.97ms, mfu 2.91%
iter 510: loss 0.5480, time 186.22ms, mfu 2.96%
iter 520: loss 0.5261, time 187.27ms, mfu 2.99%
iter 530: loss 0.4764, time 188.41ms, mfu 3.02%
iter 540: loss 0.4724, time 193.18ms, mfu 3.04%
iter 550: loss 0.4377, time 185.25ms, mfu 3.07%
iter 560: loss 0.4213, time 191.31ms, mfu 3.09%
iter 570: loss 0.3688, time 188.11ms, mfu 3.11%
iter 580: loss 0.3604, time 188.55ms, mfu 3.13%
iter 590: loss 0.3315, time 185.88ms, mfu 3.15%
iter 600: loss 0.3153, time 191.57ms, mfu 3.16%
iter 610: loss 0.2874, time 189.31ms, mfu 3.17%
iter 620: loss 0.2750, time 185.65ms, mfu 3.19%
iter 630: loss 0.2780, time 189.65ms, mfu 3.20%
iter 640: loss 0.2522, time 190.67ms, mfu 3.20%
iter 650: loss 0.2524, time 185.38ms, mfu 3.22%
iter 660: loss 0.2251, time 187.49ms, mfu 3.23%
iter 670: loss 0.2321, time 185.91ms, mfu 3.24%
iter 680: loss 0.2266, time 185.47ms, mfu 3.25%
iter 690: loss 0.2145, time 192.73ms, mfu 3.25%
iter 700: loss 0.2105, time 190.81ms, mfu 3.25%
iter 710: loss 0.2154, time 189.65ms, mfu 3.25%
iter 720: loss 0.1971, time 186.93ms, mfu 3.26%
iter 730: loss 0.1946, time 191.20ms, mfu 3.26%
iter 740: loss 0.1855, time 186.66ms, mfu 3.26%
step 750: train loss 0.0798, val loss 4.3162
iter 750: loss 0.1889, time 19129.65ms, mfu 2.94%
iter 760: loss 0.1844, time 187.29ms, mfu 2.98%
iter 770: loss 0.1883, time 191.43ms, mfu 3.00%
iter 780: loss 0.1742, time 190.59ms, mfu 3.03%
iter 790: loss 0.1711, time 193.30ms, mfu 3.05%
iter 800: loss 0.1728, time 191.51ms, mfu 3.07%
iter 810: loss 0.1678, time 183.86ms, mfu 3.10%
iter 820: loss 0.1579, time 186.13ms, mfu 3.12%
iter 830: loss 0.1626, time 189.07ms, mfu 3.14%
iter 840: loss 0.1494, time 185.74ms, mfu 3.16%
