Overriding config with config/train_tt1k.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-tt1k'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'tt1k-char'
wandb_run_name = 'mini-gpt'

dataset = 'tt_1k'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 10
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

tokens per iteration will be: 16,384
found vocab_size = 130 (inside data/tt_1k/meta.pkl)
Initializing a new model from scratch
number of parameters: 17.75M
num decayed parameter tensors: 42, with 17,842,944 parameters
num non-decayed parameter tensors: 21, with 8,064 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 4.9531, val loss 4.9548
iter 0: loss 4.9566, time 34111.99ms, mfu -100.00%
iter 10: loss 3.4903, time 190.49ms, mfu 3.26%
iter 20: loss 3.0222, time 194.26ms, mfu 3.26%
iter 30: loss 2.7774, time 190.67ms, mfu 3.26%
iter 40: loss 2.6504, time 193.92ms, mfu 3.25%
iter 50: loss 2.6876, time 195.68ms, mfu 3.24%
iter 60: loss 2.6169, time 195.31ms, mfu 3.24%
iter 70: loss 2.6227, time 199.42ms, mfu 3.22%
iter 80: loss 2.6479, time 200.61ms, mfu 3.21%
iter 90: loss 2.6275, time 197.96ms, mfu 3.20%
iter 100: loss 2.6192, time 197.95ms, mfu 3.20%
iter 110: loss 2.5930, time 197.43ms, mfu 3.19%
iter 120: loss 2.6130, time 191.81ms, mfu 3.20%
iter 130: loss 2.5878, time 191.20ms, mfu 3.20%
iter 140: loss 2.5781, time 195.35ms, mfu 3.20%
iter 150: loss 2.5722, time 194.99ms, mfu 3.20%
iter 160: loss 2.5606, time 192.81ms, mfu 3.20%
iter 170: loss 2.5337, time 192.92ms, mfu 3.20%
iter 180: loss 2.5147, time 193.19ms, mfu 3.20%
iter 190: loss 2.5145, time 185.46ms, mfu 3.22%
iter 200: loss 2.4651, time 184.98ms, mfu 3.23%
iter 210: loss 2.4263, time 190.79ms, mfu 3.24%
iter 220: loss 2.3853, time 186.75ms, mfu 3.24%
iter 230: loss 2.3352, time 183.31ms, mfu 3.26%
iter 240: loss 2.2863, time 185.61ms, mfu 3.27%
step 250: train loss 2.2140, val loss 2.1731
saving checkpoint to out-tt1k
iter 250: loss 2.2506, time 22388.63ms, mfu 2.94%
iter 260: loss 2.2616, time 190.62ms, mfu 2.98%
iter 270: loss 2.2017, time 187.67ms, mfu 3.01%
iter 280: loss 2.2292, time 191.47ms, mfu 3.03%
iter 290: loss 2.1262, time 189.10ms, mfu 3.06%
iter 300: loss 2.1421, time 192.09ms, mfu 3.08%
iter 310: loss 2.0943, time 192.64ms, mfu 3.09%
iter 320: loss 2.1105, time 191.30ms, mfu 3.11%
iter 330: loss 2.0657, time 191.90ms, mfu 3.12%
iter 340: loss 2.0670, time 192.62ms, mfu 3.13%
iter 350: loss 2.0595, time 192.77ms, mfu 3.14%
iter 360: loss 2.0165, time 190.88ms, mfu 3.15%
iter 370: loss 1.9795, time 192.28ms, mfu 3.16%
iter 380: loss 1.9850, time 196.20ms, mfu 3.16%
iter 390: loss 1.9563, time 192.29ms, mfu 3.17%
iter 400: loss 1.9173, time 190.75ms, mfu 3.18%
iter 410: loss 1.9401, time 187.46ms, mfu 3.19%
iter 420: loss 1.8737, time 193.24ms, mfu 3.19%
iter 430: loss 1.9145, time 194.88ms, mfu 3.19%
iter 440: loss 1.8288, time 190.96ms, mfu 3.20%
iter 450: loss 1.8096, time 193.26ms, mfu 3.20%
iter 460: loss 1.8281, time 192.07ms, mfu 3.20%
iter 470: loss 1.7841, time 184.31ms, mfu 3.22%
iter 480: loss 1.7234, time 191.78ms, mfu 3.22%
iter 490: loss 1.7250, time 192.32ms, mfu 3.22%
step 500: train loss 1.5943, val loss 1.8391
saving checkpoint to out-tt1k
iter 500: loss 1.7206, time 20578.56ms, mfu 2.90%
iter 510: loss 1.7318, time 184.78ms, mfu 2.95%
iter 520: loss 1.6908, time 188.99ms, mfu 2.98%
iter 530: loss 1.6523, time 185.69ms, mfu 3.02%
iter 540: loss 1.6199, time 188.36ms, mfu 3.05%
iter 550: loss 1.6079, time 186.27ms, mfu 3.08%
iter 560: loss 1.6012, time 188.13ms, mfu 3.10%
iter 570: loss 1.5506, time 187.57ms, mfu 3.12%
iter 580: loss 1.5400, time 182.57ms, mfu 3.15%
iter 590: loss 1.5377, time 187.15ms, mfu 3.17%
iter 600: loss 1.5038, time 189.90ms, mfu 3.18%
iter 610: loss 1.4794, time 189.54ms, mfu 3.19%
iter 620: loss 1.4822, time 191.09ms, mfu 3.19%
iter 630: loss 1.4535, time 189.16ms, mfu 3.20%
iter 640: loss 1.4275, time 190.00ms, mfu 3.21%
iter 650: loss 1.3918, time 190.72ms, mfu 3.21%
iter 660: loss 1.3846, time 190.73ms, mfu 3.22%
iter 670: loss 1.3985, time 189.42ms, mfu 3.22%
iter 680: loss 1.3211, time 190.97ms, mfu 3.23%
iter 690: loss 1.3342, time 192.09ms, mfu 3.23%
iter 700: loss 1.2360, time 188.18ms, mfu 3.24%
iter 710: loss 1.2549, time 190.33ms, mfu 3.24%
iter 720: loss 1.2465, time 189.24ms, mfu 3.24%
iter 730: loss 1.1382, time 191.94ms, mfu 3.24%
iter 740: loss 1.1321, time 192.86ms, mfu 3.24%
step 750: train loss 0.9268, val loss 1.9324
iter 750: loss 1.1977, time 19213.61ms, mfu 2.92%
iter 760: loss 1.1518, time 186.33ms, mfu 2.96%
iter 770: loss 1.0979, time 188.37ms, mfu 2.99%
iter 780: loss 1.0908, time 192.14ms, mfu 3.02%
iter 790: loss 1.0234, time 191.83ms, mfu 3.04%
iter 800: loss 1.0591, time 191.90ms, mfu 3.06%
iter 810: loss 0.9808, time 191.43ms, mfu 3.08%
iter 820: loss 1.0172, time 191.12ms, mfu 3.10%
iter 830: loss 1.0151, time 187.03ms, mfu 3.12%
