Overriding config with hw/4l12h/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char-4l12h'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 4
n_head = 12
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 3000
lr_decay_iters = 3000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 7.11M
num decayed parameter tensors: 18, with 7,201,152 parameters
num non-decayed parameter tensors: 9, with 3,456 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 4.1983, val loss 4.2026
iter 0: loss 4.2215, time 15795.96ms, mfu -100.00%
iter 10: loss 3.2552, time 75.91ms, mfu 3.28%
iter 20: loss 2.8003, time 75.81ms, mfu 3.28%
iter 30: loss 2.6183, time 74.32ms, mfu 3.28%
iter 40: loss 2.5461, time 76.64ms, mfu 3.28%
iter 50: loss 2.5285, time 74.64ms, mfu 3.28%
iter 60: loss 2.5123, time 76.59ms, mfu 3.28%
iter 70: loss 2.5112, time 77.67ms, mfu 3.27%
iter 80: loss 2.4814, time 74.53ms, mfu 3.28%
iter 90: loss 2.4612, time 76.60ms, mfu 3.28%
iter 100: loss 2.4505, time 74.49ms, mfu 3.28%
iter 110: loss 2.4492, time 76.77ms, mfu 3.28%
iter 120: loss 2.4557, time 76.77ms, mfu 3.27%
iter 130: loss 2.4430, time 75.72ms, mfu 3.28%
iter 140: loss 2.4216, time 77.21ms, mfu 3.27%
iter 150: loss 2.4027, time 74.78ms, mfu 3.28%
iter 160: loss 2.4386, time 76.04ms, mfu 3.27%
iter 170: loss 2.3916, time 75.34ms, mfu 3.28%
iter 180: loss 2.3292, time 76.53ms, mfu 3.27%
iter 190: loss 2.3460, time 74.54ms, mfu 3.28%
iter 200: loss 2.3161, time 77.50ms, mfu 3.27%
iter 210: loss 2.2748, time 74.95ms, mfu 3.28%
iter 220: loss 2.2562, time 77.25ms, mfu 3.27%
iter 230: loss 2.1904, time 75.18ms, mfu 3.28%
iter 240: loss 2.1875, time 76.25ms, mfu 3.27%
step 250: train loss 2.0512, val loss 2.1369
saving checkpoint to out-shakespeare-char-4l12h
iter 250: loss 2.1442, time 9734.55ms, mfu 2.95%
iter 260: loss 2.0729, time 75.92ms, mfu 2.98%
iter 270: loss 2.0706, time 75.60ms, mfu 3.01%
iter 280: loss 1.9995, time 74.30ms, mfu 3.05%
iter 290: loss 1.9927, time 77.26ms, mfu 3.06%
iter 300: loss 1.9901, time 75.10ms, mfu 3.09%
iter 310: loss 1.9541, time 77.07ms, mfu 3.10%
iter 320: loss 1.9267, time 75.41ms, mfu 3.12%
iter 330: loss 1.9290, time 77.11ms, mfu 3.13%
iter 340: loss 1.8726, time 74.58ms, mfu 3.15%
iter 350: loss 1.8880, time 75.88ms, mfu 3.16%
iter 360: loss 1.8452, time 76.04ms, mfu 3.18%
iter 370: loss 1.8018, time 75.30ms, mfu 3.19%
iter 380: loss 1.8045, time 76.17ms, mfu 3.20%
iter 390: loss 1.8004, time 75.94ms, mfu 3.20%
iter 400: loss 1.7870, time 76.10ms, mfu 3.21%
iter 410: loss 1.7399, time 75.24ms, mfu 3.22%
iter 420: loss 1.7511, time 77.75ms, mfu 3.22%
iter 430: loss 1.7129, time 75.68ms, mfu 3.22%
iter 440: loss 1.6909, time 78.49ms, mfu 3.22%
iter 450: loss 1.6706, time 76.56ms, mfu 3.22%
iter 460: loss 1.7034, time 76.41ms, mfu 3.22%
iter 470: loss 1.6415, time 78.19ms, mfu 3.22%
iter 480: loss 1.6199, time 77.58ms, mfu 3.22%
iter 490: loss 1.6626, time 75.86ms, mfu 3.22%
step 500: train loss 1.5617, val loss 1.7492
saving checkpoint to out-shakespeare-char-4l12h
iter 500: loss 1.6399, time 8567.35ms, mfu 2.91%
iter 510: loss 1.5946, time 77.70ms, mfu 2.93%
iter 520: loss 1.6251, time 77.17ms, mfu 2.96%
iter 530: loss 1.5895, time 76.22ms, mfu 2.99%
iter 540: loss 1.5855, time 78.37ms, mfu 3.01%
iter 550: loss 1.5640, time 77.11ms, mfu 3.03%
iter 560: loss 1.6039, time 75.47ms, mfu 3.06%
iter 570: loss 1.5699, time 76.64ms, mfu 3.08%
iter 580: loss 1.5391, time 76.03ms, mfu 3.10%
iter 590: loss 1.5432, time 75.69ms, mfu 3.12%
iter 600: loss 1.5567, time 75.11ms, mfu 3.14%
iter 610: loss 1.5592, time 76.53ms, mfu 3.15%
iter 620: loss 1.5286, time 75.73ms, mfu 3.16%
iter 630: loss 1.5297, time 75.91ms, mfu 3.17%
iter 640: loss 1.5204, time 76.22ms, mfu 3.18%
iter 650: loss 1.5127, time 76.49ms, mfu 3.19%
iter 660: loss 1.5553, time 77.82ms, mfu 3.19%
iter 670: loss 1.4898, time 76.13ms, mfu 3.20%
iter 680: loss 1.5089, time 75.28ms, mfu 3.21%
iter 690: loss 1.4887, time 77.55ms, mfu 3.21%
iter 700: loss 1.4985, time 76.21ms, mfu 3.21%
iter 710: loss 1.4777, time 77.95ms, mfu 3.21%
iter 720: loss 1.5040, time 75.44ms, mfu 3.22%
iter 730: loss 1.4636, time 76.19ms, mfu 3.22%
iter 740: loss 1.4412, time 77.43ms, mfu 3.22%
step 750: train loss 1.3753, val loss 1.6042
saving checkpoint to out-shakespeare-char-4l12h
iter 750: loss 1.4441, time 8571.87ms, mfu 2.90%
iter 760: loss 1.4529, time 76.12ms, mfu 2.94%
iter 770: loss 1.4443, time 76.91ms, mfu 2.97%
iter 780: loss 1.4364, time 77.99ms, mfu 2.99%
iter 790: loss 1.4394, time 76.62ms, mfu 3.02%
iter 800: loss 1.4348, time 76.96ms, mfu 3.04%
iter 810: loss 1.4523, time 75.98ms, mfu 3.06%
