Overriding config with hw/2l12h/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char-2l12h'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 2
n_head = 12
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 3000
lr_decay_iters = 3000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 3.57M
num decayed parameter tensors: 10, with 3,662,208 parameters
num non-decayed parameter tensors: 5, with 1,920 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 4.2459, val loss 4.2430
iter 0: loss 4.2581, time 9726.23ms, mfu -100.00%
iter 10: loss 3.3481, time 39.82ms, mfu 3.13%
iter 20: loss 2.9566, time 39.94ms, mfu 3.13%
iter 30: loss 2.6931, time 40.40ms, mfu 3.13%
iter 40: loss 2.5811, time 39.99ms, mfu 3.13%
iter 50: loss 2.5364, time 41.17ms, mfu 3.12%
iter 60: loss 2.4984, time 40.23ms, mfu 3.12%
iter 70: loss 2.4940, time 41.14ms, mfu 3.11%
iter 80: loss 2.4957, time 40.49ms, mfu 3.10%
iter 90: loss 2.4825, time 40.11ms, mfu 3.10%
iter 100: loss 2.4687, time 39.92ms, mfu 3.11%
iter 110: loss 2.4660, time 40.05ms, mfu 3.11%
iter 120: loss 2.4640, time 40.48ms, mfu 3.10%
iter 130: loss 2.4324, time 40.06ms, mfu 3.11%
iter 140: loss 2.4364, time 40.42ms, mfu 3.10%
iter 150: loss 2.4360, time 40.09ms, mfu 3.10%
iter 160: loss 2.4127, time 40.10ms, mfu 3.11%
iter 170: loss 2.3964, time 39.98ms, mfu 3.11%
iter 180: loss 2.3713, time 40.89ms, mfu 3.10%
iter 190: loss 2.3551, time 40.52ms, mfu 3.10%
iter 200: loss 2.3422, time 40.19ms, mfu 3.10%
iter 210: loss 2.3014, time 41.10ms, mfu 3.09%
iter 220: loss 2.2675, time 40.70ms, mfu 3.09%
iter 230: loss 2.2367, time 40.72ms, mfu 3.09%
iter 240: loss 2.2195, time 40.09ms, mfu 3.09%
step 250: train loss 2.0792, val loss 2.1766
saving checkpoint to out-shakespeare-char-2l12h
iter 250: loss 2.1652, time 5379.48ms, mfu 2.78%
iter 260: loss 2.1306, time 40.75ms, mfu 2.81%
iter 270: loss 2.0987, time 40.01ms, mfu 2.84%
iter 280: loss 2.0774, time 39.86ms, mfu 2.87%
iter 290: loss 2.0568, time 40.11ms, mfu 2.89%
iter 300: loss 1.9901, time 40.73ms, mfu 2.91%
iter 310: loss 1.9796, time 40.61ms, mfu 2.93%
iter 320: loss 1.9314, time 40.65ms, mfu 2.94%
iter 330: loss 1.9119, time 40.41ms, mfu 2.96%
iter 340: loss 1.8905, time 40.82ms, mfu 2.97%
iter 350: loss 1.8567, time 40.40ms, mfu 2.98%
iter 360: loss 1.8839, time 40.68ms, mfu 2.99%
iter 370: loss 1.8215, time 40.11ms, mfu 3.00%
iter 380: loss 1.8271, time 40.24ms, mfu 3.01%
iter 390: loss 1.8324, time 40.59ms, mfu 3.02%
iter 400: loss 1.8300, time 40.51ms, mfu 3.02%
iter 410: loss 1.7864, time 40.15ms, mfu 3.03%
iter 420: loss 1.7426, time 40.24ms, mfu 3.04%
iter 430: loss 1.7347, time 40.47ms, mfu 3.04%
iter 440: loss 1.7357, time 39.39ms, mfu 3.05%
iter 450: loss 1.7002, time 40.76ms, mfu 3.06%
iter 460: loss 1.7149, time 40.52ms, mfu 3.06%
iter 470: loss 1.6812, time 40.44ms, mfu 3.06%
iter 480: loss 1.6998, time 40.52ms, mfu 3.06%
iter 490: loss 1.6864, time 41.35ms, mfu 3.06%
step 500: train loss 1.5706, val loss 1.7558
saving checkpoint to out-shakespeare-char-2l12h
iter 500: loss 1.6777, time 4703.11ms, mfu 2.75%
iter 510: loss 1.6656, time 40.03ms, mfu 2.79%
iter 520: loss 1.6643, time 40.10ms, mfu 2.82%
iter 530: loss 1.6228, time 40.14ms, mfu 2.85%
iter 540: loss 1.6835, time 40.81ms, mfu 2.87%
iter 550: loss 1.5923, time 40.43ms, mfu 2.89%
iter 560: loss 1.6307, time 39.98ms, mfu 2.92%
iter 570: loss 1.6203, time 40.84ms, mfu 2.93%
iter 580: loss 1.6353, time 40.21ms, mfu 2.95%
iter 590: loss 1.5980, time 39.95ms, mfu 2.96%
iter 600: loss 1.6065, time 40.90ms, mfu 2.97%
iter 610: loss 1.6300, time 40.76ms, mfu 2.98%
iter 620: loss 1.5774, time 40.58ms, mfu 2.99%
iter 630: loss 1.5648, time 40.69ms, mfu 3.00%
iter 640: loss 1.5779, time 40.97ms, mfu 3.00%
iter 650: loss 1.5600, time 40.71ms, mfu 3.01%
iter 660: loss 1.5538, time 40.64ms, mfu 3.02%
iter 670: loss 1.5730, time 40.92ms, mfu 3.02%
iter 680: loss 1.5939, time 40.62ms, mfu 3.02%
iter 690: loss 1.5668, time 40.59ms, mfu 3.03%
iter 700: loss 1.5700, time 40.16ms, mfu 3.04%
iter 710: loss 1.5444, time 41.43ms, mfu 3.03%
iter 720: loss 1.5352, time 40.82ms, mfu 3.04%
iter 730: loss 1.5549, time 40.59ms, mfu 3.04%
iter 740: loss 1.5347, time 39.86ms, mfu 3.05%
step 750: train loss 1.4273, val loss 1.6536
saving checkpoint to out-shakespeare-char-2l12h
iter 750: loss 1.5058, time 4702.22ms, mfu 2.75%
iter 760: loss 1.5477, time 40.74ms, mfu 2.78%
iter 770: loss 1.5179, time 40.74ms, mfu 2.81%
iter 780: loss 1.5305, time 40.63ms, mfu 2.83%
iter 790: loss 1.5394, time 40.82ms, mfu 2.85%
iter 800: loss 1.5233, time 40.42ms, mfu 2.88%
iter 810: loss 1.5018, time 40.89ms, mfu 2.90%
